,social_assit,pharmaceutical,general_surgeon,general_practitioner,nurse,physiotherapist,gynecologist,family_physician,Nutricionista,pediatrician
241200,12,8,1,32,37,15,4,30,8,6
241210,1,1,-,3,3,1,-,1,1,-
241220,13,3,-,13,52,12,8,8,10,9
241230,3,2,-,2,11,3,-,-,2,-
241240,-,-,-,2,5,-,-,-,1,-
241250,2,1,-,4,20,4,1,2,2,-
241255,1,-,-,4,12,4,-,4,2,-
241260,4,10,-,6,21,4,2,2,3,1
241270,-,-,-,-,5,1,-,-,1,-
241280,1,-,-,3,8,3,-,-,-,-
241290,-,1,-,1,8,2,-,4,2,-
241300,1,1,-,1,7,3,-,-,-,-
241310,-,-,-,3,4,2,-,-,-,-
241320,-,-,-,-,4,-,-,-,1,-
241330,-,1,-,2,6,3,-,2,1,-
241335,2,-,-,1,7,3,-,3,2,-
241340,1,-,-,1,3,-,-,-,1,-
241350,-,-,-,4,6,2,-,1,1,-
241355,1,-,-,1,4,2,-,-,-,-
241360,3,-,-,1,6,2,-,1,-,-
241370,-,-,-,1,4,-,-,3,1,-
241380,-,1,-,-,4,2,-,1,-,-
241390,2,2,-,2,9,1,-,4,1,-
241400,-,-,-,-,11,1,-,5,1,-
241410,1,-,-,2,11,2,-,-,2,-
241415,-,1,-,-,4,2,-,1,1,-
241420,-,1,-,5,10,3,1,2,2,-
241430,1,1,-,6,7,-,-,-,-,-
241440,3,-,-,14,26,4,-,-,4,-
241445,1,-,-,2,4,1,-,-,1,-
241450,-,-,-,2,10,3,-,-,1,-
241460,2,-,-,-,13,3,-,1,1,-
241470,1,-,-,2,4,-,-,-,1,-
241475,-,-,-,-,2,-,-,2,1,-
241480,1,1,-,5,12,2,-,3,2,-
241490,1,-,-,-,3,-,-,-,1,-
241500,-,-,-,1,3,1,-,1,-,-
250010,-,1,-,6,14,5,-,-,2,1
250020,2,2,-,8,14,3,-,-,2,-
250030,5,2,-,12,37,4,2,6,3,-
250040,1,1,-,7,15,3,-,5,1,-
250050,2,1,-,3,10,4,1,5,1,1
250053,2,-,-,2,4,4,-,1,1,-
250057,1,1,-,-,3,2,-,-,1,-
250060,4,1,-,18,36,6,-,4,2,1
250070,4,3,-,5,22,5,1,5,2,-
250073,1,1,-,2,6,2,-,1,1,-
250077,1,-,-,3,5,1,-,2,1,-
250080,1,1,-,2,13,2,-,7,1,-
250090,1,1,-,5,17,4,-,2,1,-
250100,2,1,-,8,26,6,1,7,1,-
250110,3,2,-,5,33,5,1,5,4,1
250115,1,1,-,-,2,2,-,-,1,-
250120,-,-,-,-,1,2,-,3,2,-
250130,2,1,-,6,23,3,1,6,2,-
250135,1,-,-,-,7,3,-,2,1,-
250140,2,3,-,5,23,3,-,2,2,-
250150,1,4,-,9,21,2,1,3,4,1
250153,1,1,-,1,6,2,-,1,-,-
250157,2,1,-,1,10,5,-,3,2,-
250160,2,4,-,1,21,2,-,2,2,-
250170,-,1,-,-,3,3,-,3,-,-
250180,21,11,-,24,91,20,16,18,12,17
250190,4,3,2,8,29,7,-,2,3,2
250200,2,-,-,3,11,3,-,1,1,1
250205,1,1,-,1,6,1,-,1,1,-
250210,1,2,-,1,10,3,-,3,-,1
250215,-,-,-,4,13,3,-,-,-,-
250220,1,-,-,-,7,3,-,1,1,-
250230,1,1,-,3,11,2,-,-,1,-
250240,1,2,1,6,17,3,-,3,2,-
250250,6,2,-,9,29,8,-,3,2,-
250260,1,2,-,1,8,1,-,2,1,-
250270,-,-,-,-,2,2,-,2,1,-
250280,2,1,-,5,17,5,-,1,3,-
250290,-,-,-,-,3,-,-,1,-,-
250300,3,1,-,22,29,5,-,7,6,1
250310,1,1,-,5,9,2,-,1,1,1
250320,27,16,3,24,121,39,16,26,32,12
250330,1,2,-,5,9,7,-,2,1,-
250340,2,1,-,2,6,1,-,-,1,-
250350,1,-,-,5,14,5,-,4,2,-
250355,-,1,-,1,8,2,-,2,1,-
250360,1,1,-,2,10,3,-,2,1,-
250370,37,28,11,43,162,57,27,17,19,17
250375,1,-,-,3,6,1,-,2,1,1
250380,-,-,-,1,6,2,-,3,1,-
250390,-,-,-,-,8,2,-,-,-,-
250400,167,109,38,261,832,317,66,75,92,122
250403,-,1,-,1,9,1,-,3,1,-
250407,-,-,-,-,5,1,-,1,1,-
250410,-,2,-,1,2,1,-,1,-,-
250415,1,-,-,1,2,3,-,2,1,-
250420,-,1,-,2,8,3,-,1,2,-
250430,11,5,-,22,57,21,5,5,8,1
250435,1,1,-,-,4,2,-,1,2,-
250440,4,2,-,6,31,10,-,3,1,1
250450,1,-,-,1,8,3,-,1,1,1
250460,4,5,-,6,31,6,-,7,6,1
250470,1,1,-,1,4,1,-,-,1,-
250480,4,1,2,11,20,10,-,-,5,2
250485,-,-,-,1,2,1,-,-,1,-
250490,1,-,-,5,10,4,-,4,2,1
250500,1,1,-,1,4,2,-,4,1,-
250510,5,2,-,9,36,3,-,5,3,-
250520,-,1,-,1,5,3,-,1,1,-
250523,-,1,-,1,6,3,-,2,1,-
250527,1,-,-,2,9,3,-,1,1,-
250530,-,-,-,1,4,-,-,1,-,-
250535,1,1,-,-,9,2,-,2,1,-
250540,2,1,-,1,6,2,-,2,1,-
250550,1,1,-,2,3,2,-,1,-,-
250560,1,2,-,-,11,3,-,1,1,-
250570,2,2,-,5,9,2,-,5,1,-
250580,-,-,-,1,5,2,1,2,1,-
250590,-,1,-,1,1,3,-,-,-,-
250600,6,4,1,13,42,15,-,6,5,2
250610,1,-,-,2,6,-,-,1,-,-
250620,-,-,-,1,6,1,-,1,1,-
250625,1,1,-,1,6,4,1,-,1,-
250630,16,10,11,41,104,24,9,13,7,9
250640,-,-,-,2,14,2,-,6,2,-
250650,-,1,-,1,7,3,-,2,1,-
250660,2,1,-,2,11,1,-,-,1,-
250670,1,1,-,3,10,2,-,-,1,-
250680,4,-,-,8,25,13,-,8,4,-
250690,5,5,3,19,45,15,4,6,10,3
250700,7,3,1,12,44,13,3,6,6,-
250710,1,1,-,2,13,7,-,6,2,1
250720,1,2,-,-,12,3,-,4,1,-
250730,2,1,-,3,13,3,-,6,-,-
250740,1,-,-,2,5,3,-,1,1,-
250750,408,335,97,481,1931,760,208,199,280,293
250760,-,1,-,-,7,3,-,1,1,-
250770,2,1,-,3,19,9,1,4,1,1
250780,1,-,-,2,8,3,-,1,1,-
250790,1,1,-,3,6,4,1,2,1,-
250800,1,2,-,4,13,4,-,1,1,-
250810,-,1,-,-,1,2,-,1,1,-
250820,-,1,-,2,13,3,-,3,1,1
250830,2,1,-,11,16,6,-,6,3,1
250840,2,-,-,2,6,2,-,1,1,-
250850,1,1,-,-,9,2,-,2,-,-
250855,3,-,-,3,6,1,-,-,-,1
250860,2,-,-,4,14,2,-,4,2,-
250870,-,1,-,1,3,1,-,1,-,-
250880,1,-,-,1,5,2,-,-,1,-
250890,11,9,2,22,93,17,2,14,18,9
250900,1,1,-,4,15,5,-,3,1,-
250905,2,-,-,2,14,1,-,3,3,-
250910,1,1,-,6,21,4,-,8,4,-
250915,2,1,1,-,2,3,-,1,-,-
250920,1,-,-,6,9,5,1,2,1,-
250930,1,1,-,1,15,3,-,4,-,-
250933,1,1,-,-,2,2,-,1,-,-
250937,1,1,-,2,2,2,-,-,1,-
250939,-,1,-,1,3,2,-,1,1,-
250940,1,-,-,3,17,3,-,3,2,-
250950,1,-,-,-,3,2,-,1,-,-
250960,-,1,-,-,4,2,-,-,1,-
250970,12,4,1,20,75,18,2,7,7,-
250980,2,1,-,3,6,2,-,4,2,-
250990,1,-,-,2,15,1,-,3,2,-
251000,-,1,-,2,7,1,-,3,1,-
251010,1,1,-,-,7,3,-,4,1,-
251020,1,1,-,1,10,2,-,2,1,-
251030,-,1,-,1,6,3,-,2,-,-
251040,1,1,-,1,8,1,-,-,1,-
251050,2,-,-,-,3,1,-,-,1,-
251060,-,-,-,4,4,2,-,2,1,-
251065,-,1,-,-,2,2,-,-,1,-
251070,1,1,-,3,7,1,-,-,1,-
251080,35,22,8,70,271,65,12,19,25,13
251090,-,3,-,6,13,3,-,2,2,1
251100,2,1,-,-,6,-,-,3,-,-
251110,-,-,1,2,11,1,-,1,1,-
251120,3,2,-,7,26,8,1,4,4,1
251130,23,4,1,21,70,20,-,6,5,-
251140,4,4,-,11,28,5,-,6,3,-
251150,2,-,-,6,17,4,-,3,2,-
251160,1,1,-,1,5,1,-,1,-,-
251170,-,-,-,2,2,2,-,-,-,-
251180,1,1,-,2,4,1,-,1,1,-
251190,1,1,-,3,17,3,-,5,1,-
251200,-,2,-,3,18,5,-,7,1,-
251203,1,1,-,4,3,1,-,1,-,-
251207,-,-,-,1,3,2,-,2,-,-
251210,8,10,-,19,78,9,-,5,5,-
251220,1,1,-,3,8,1,-,-,1,-
251230,9,2,1,24,54,16,1,9,5,1
251240,1,-,-,1,9,3,-,3,1,-
251250,9,3,-,5,47,20,1,12,5,4
251260,1,1,-,-,2,1,-,1,-,-
251270,2,2,-,7,24,4,1,4,1,1
251272,-,-,-,2,4,1,-,-,1,-
251274,1,1,-,2,7,1,-,1,1,-
251275,-,1,-,-,3,1,-,-,1,-
251276,-,1,-,-,3,-,-,2,2,-
251278,1,-,-,1,6,1,-,-,-,-
251280,2,1,-,2,9,2,-,1,1,-
251290,1,1,-,9,26,7,-,5,2,1
251300,1,1,-,2,5,1,-,-,1,-
251310,1,2,-,3,9,3,-,4,-,-
251315,-,1,-,-,5,1,-,2,1,-
251320,-,2,-,3,9,2,-,2,1,-
251330,1,2,-,-,8,4,-,1,1,-
251335,1,1,-,-,4,2,-,-,1,-
251340,7,1,-,16,33,6,-,2,7,-
251350,1,-,-,1,5,-,-,3,-,-
251360,1,-,-,2,5,2,-,1,-,-
251365,1,-,-,-,6,2,-,-,1,-
251370,20,15,3,43,197,40,1,21,18,8
251380,-,-,-,1,8,1,-,1,-,-
251385,-,1,-,-,4,2,-,1,1,-
251390,4,3,1,8,45,11,1,5,7,1
251392,-,1,-,1,1,2,-,2,-,-
251394,-,1,-,2,3,1,-,1,-,-
251396,2,1,-,-,1,-,-,-,-,-
251398,1,-,-,3,3,2,-,1,1,1
251400,1,1,-,2,6,2,-,1,1,-
251410,-,2,-,1,3,1,-,1,1,-
251420,-,2,1,1,8,2,-,2,1,-
251430,2,1,-,2,5,-,-,1,1,-
251440,2,1,-,-,4,2,-,-,1,-
251445,1,-,-,1,7,3,-,1,1,-
251450,2,1,-,7,24,3,-,6,-,-
251455,-,-,-,1,2,1,-,2,-,-
251460,-,-,-,-,3,1,-,1,-,-
251465,1,-,-,1,2,-,-,-,1,-
251470,1,1,-,2,12,1,-,2,-,-
251480,-,1,-,-,1,2,-,1,1,-
251490,1,2,1,2,11,2,-,-,1,-
251500,-,1,-,1,7,2,1,1,-,-
251510,2,1,-,4,12,2,-,-,-,1
251520,-,1,-,1,2,1,-,1,1,-
251530,14,3,-,11,51,15,-,9,6,-
251540,-,1,-,3,14,2,-,1,1,-
251550,1,1,-,6,14,5,-,2,3,-
251560,-,1,-,1,3,1,-,-,1,-
251570,1,-,-,1,6,1,-,1,-,-
251580,1,1,-,1,7,2,-,3,1,-
251590,1,1,-,3,13,2,1,1,2,1
251593,-,1,-,1,3,3,-,-,1,-
251597,1,1,-,-,10,3,-,2,-,-
251600,1,1,1,6,24,7,-,8,3,1
251610,1,1,-,3,16,3,-,2,1,-
251615,1,1,-,-,2,1,-,2,1,-
251620,25,7,4,30,100,31,5,10,9,2
251630,1,1,1,2,14,5,-,1,3,-
251640,1,-,-,-,3,-,-,1,1,-
251650,3,1,-,8,27,2,-,2,2,-
251660,1,2,-,2,15,4,-,-,4,1
251670,1,1,-,2,9,4,-,3,2,1
251675,-,-,-,-,2,2,-,1,1,-
251680,1,-,-,3,11,2,-,1,-,-
251690,3,3,-,5,40,6,-,5,2,1
251700,2,1,-,6,13,4,-,3,2,-
251710,1,1,-,2,8,-,-,-,1,1
251720,1,1,-,1,7,1,-,1,-,-
251740,1,-,-,2,2,-,-,-,-,-
260005,13,8,1,29,71,25,12,16,4,25
260010,13,8,2,37,71,22,4,5,6,10
260020,2,1,2,8,18,2,-,6,1,1
260030,7,5,1,17,32,13,1,1,5,2
260040,3,-,-,8,23,5,-,4,3,1
260050,2,3,-,8,35,6,-,9,3,-
260060,1,2,-,3,22,3,-,3,3,-
260070,4,1,-,4,23,10,1,8,3,1
260080,3,1,-,12,14,3,1,-,3,-
260090,2,5,-,7,16,2,-,3,1,-
260100,3,-,-,2,16,3,-,1,1,1
260105,2,1,-,4,12,6,1,4,1,-
260110,5,3,2,24,53,15,2,12,6,6
260120,19,15,7,42,152,40,10,10,16,20
260130,1,-,-,8,14,4,-,1,2,1
260140,1,-,3,11,25,6,-,6,3,-
260150,-,1,-,4,12,3,-,1,1,-
260160,2,2,-,8,24,1,-,2,1,-
260170,5,7,3,11,72,12,3,4,5,3
260180,-,1,-,4,11,2,-,2,1,-
260190,8,4,1,16,45,17,-,13,4,4
260200,9,-,-,14,23,6,-,4,4,-
260210,6,2,-,15,31,7,1,7,1,3
260220,1,1,-,12,16,10,1,1,2,-
260230,2,1,1,8,28,4,2,7,2,2
260240,1,2,-,6,10,2,-,-,1,-
260250,-,1,-,5,8,3,-,1,2,-
260260,3,1,-,10,27,7,-,6,2,1
260270,1,2,-,5,12,3,1,2,2,-
260280,1,2,-,10,35,3,-,8,3,1
260290,56,32,22,160,348,115,30,35,44,75
260300,6,3,1,12,30,7,-,5,3,-
260310,1,1,-,9,15,4,1,1,2,-
260320,1,2,1,10,20,6,-,3,3,1
260330,2,-,-,4,15,4,-,3,2,-
260340,-,1,-,2,6,1,-,-,-,-
260345,30,13,1,68,163,28,15,29,18,33
260350,1,2,-,3,14,1,-,3,1,1
260360,-,-,-,5,12,2,-,1,1,-
260370,4,1,1,5,25,3,1,3,1,1
260380,1,2,-,2,11,1,-,3,1,1
260390,2,2,1,5,21,1,-,3,1,-
260392,-,1,-,7,11,3,-,-,-,-
260400,10,8,3,28,62,44,6,9,12,11
260410,111,105,31,238,843,268,43,49,113,117
260415,1,1,-,4,11,4,1,3,1,1
260420,2,-,-,1,12,2,-,8,2,-
260430,-,1,-,6,13,-,-,2,-,2
260440,1,1,-,6,11,2,1,4,1,-
260450,4,2,-,9,13,5,1,9,2,-
260460,2,-,-,5,18,7,-,8,2,-
260470,1,2,1,5,12,3,-,3,-,1
260480,1,1,-,6,18,4,-,2,2,-
260490,-,2,-,6,13,2,-,1,2,-
260500,2,2,-,4,27,6,-,3,4,-
260510,1,1,-,12,37,4,-,9,2,2
260515,3,1,-,10,13,2,-,5,1,-
260520,3,3,3,12,34,11,1,7,4,2
260530,6,2,1,12,26,6,-,8,2,3
260540,1,2,1,11,27,6,-,6,3,1
260545,2,1,-,4,9,2,-,1,1,1
260550,-,1,-,3,8,2,-,3,1,-
260560,2,-,-,4,13,2,-,3,1,-
260570,2,3,-,10,23,5,2,3,3,-
260580,1,-,-,7,13,1,-,4,3,-
260590,2,1,-,7,19,5,-,5,3,-
260600,34,17,14,65,204,51,13,14,25,24
260610,2,-,-,12,21,3,-,3,3,2
260620,22,10,12,62,147,25,24,24,21,14
260630,-,1,-,3,8,1,-,2,1,-
260640,8,9,-,15,48,12,2,12,9,7
260650,1,-,-,2,11,2,-,2,1,-
260660,-,2,-,-,21,4,-,6,1,-
260670,-,-,-,2,6,1,-,2,1,-
260680,11,10,1,64,103,17,5,19,9,28
260690,1,2,-,3,12,1,-,1,3,-
260700,1,1,1,6,19,3,-,2,-,-
260710,1,-,-,3,7,-,-,-,1,-
260720,12,10,-,93,120,20,16,15,8,17
260730,6,1,-,5,24,11,-,7,3,-
260740,2,-,-,2,8,2,-,1,1,-
260750,-,-,-,4,18,2,-,5,1,-
260760,6,3,-,10,34,6,-,5,2,1
260765,2,-,1,15,24,13,-,8,3,1
260770,3,1,-,1,13,7,-,1,5,1
260775,2,3,1,11,23,6,-,7,4,1
260780,1,1,-,3,13,1,-,1,2,-
260790,82,60,19,332,540,176,83,89,75,226
260795,3,3,-,2,13,2,-,5,2,-
260800,1,2,-,6,15,3,-,-,1,-
260805,-,1,1,7,21,2,2,1,1,1
260810,1,1,-,9,17,5,1,4,1,1
260820,1,1,-,3,14,1,-,4,2,-
260825,1,-,-,3,11,2,-,2,-,1
260830,-,3,-,3,9,2,-,3,-,-
260840,2,1,-,1,9,5,-,3,3,-
260845,1,1,-,7,18,5,-,2,1,1
260850,2,1,-,3,16,2,-,4,1,1
260860,1,1,-,2,16,2,-,3,1,-
260870,2,-,-,2,14,1,-,2,1,-
260875,2,1,-,7,29,5,2,8,1,1
260880,2,-,-,4,26,5,1,4,5,-
260890,10,11,4,18,97,23,6,9,13,12
260900,3,2,-,9,16,2,1,3,4,1
260910,1,-,-,3,9,3,1,1,2,1
260915,2,-,-,2,11,2,-,2,1,-
260920,-,-,-,-,3,1,-,-,1,-
260930,1,1,-,3,15,6,-,2,1,-
260940,5,3,-,10,40,12,-,11,8,2
260950,7,3,-,13,41,8,7,4,3,13
260960,22,34,6,175,262,105,45,41,19,85
260970,-,1,-,4,13,5,-,4,2,-
260980,2,-,-,3,13,1,-,2,1,-
260990,13,7,6,16,70,11,8,11,9,9
261000,17,7,8,39,81,33,6,12,13,18
261010,-,1,-,4,12,1,-,1,1,-
261020,3,1,-,2,17,1,-,3,2,1
261030,2,-,-,1,12,3,-,1,2,-
261040,2,1,-,5,16,3,-,6,3,-
261050,2,2,-,2,21,7,-,3,1,1
261060,6,3,-,23,58,15,-,19,6,6
261070,30,26,16,120,308,74,6,23,36,28
261080,2,1,-,-,9,2,-,6,-,-
261090,13,4,-,10,59,14,1,9,10,7
261100,2,4,-,17,29,6,2,1,3,2
261110,56,57,30,213,654,161,76,77,59,73
261120,2,1,-,1,11,-,-,2,1,-
261130,2,1,-,6,20,2,-,4,2,-
261140,1,-,-,3,8,-,-,3,1,-
261150,1,-,-,1,15,2,-,5,1,1
261153,1,-,-,4,12,1,-,1,1,-
261160,500,628,222,1426,5049,1179,423,187,599,745
261170,1,1,-,1,13,3,1,3,-,1
261180,2,-,-,1,18,4,-,3,-,-
261190,1,-,1,-,17,3,-,4,-,-
261200,1,1,-,5,7,1,-,3,1,-
261210,1,1,-,2,5,1,-,3,1,-
261220,14,8,10,34,138,19,11,7,15,18
261230,1,-,-,1,12,3,-,2,-,-
261240,1,1,-,3,17,2,-,5,2,-
261245,1,-,-,3,13,1,-,4,1,-
261247,1,1,-,2,8,3,-,2,1,-
261250,4,3,-,15,57,20,3,10,5,3
261255,-,-,-,2,9,2,-,2,-,1
261260,4,1,2,3,18,3,-,8,1,-
261270,-,1,-,2,9,3,-,2,2,-
261280,1,1,-,4,14,3,1,1,2,-
261290,1,-,-,-,6,1,-,2,-,-
261300,1,3,-,5,21,5,-,5,3,-
261310,-,1,1,4,15,3,-,7,3,-
261320,2,1,-,1,18,1,-,3,2,-
261330,6,2,-,3,17,5,-,-,2,-
261340,2,-,-,3,6,1,1,2,1,-
261350,3,1,2,11,29,2,-,9,1,-
261360,1,1,-,8,21,18,4,5,4,-
261370,7,1,4,32,69,13,1,20,6,11
261380,2,1,-,6,12,1,-,4,2,-
261390,24,14,6,58,138,60,6,9,9,11
261400,3,2,-,6,15,1,-,3,1,-
261410,3,2,-,8,24,5,-,4,4,-
261420,1,1,1,3,9,-,-,4,1,-
261430,-,1,-,4,13,3,-,2,1,-
261440,2,-,-,5,11,1,-,2,2,-
261450,7,5,-,11,48,15,-,11,5,1
261460,2,-,-,2,25,3,1,3,2,-
261470,2,2,-,3,12,-,-,2,1,-
261480,1,1,-,3,19,1,-,4,-,-
261485,2,-,-,2,8,2,-,6,-,-
261500,2,-,1,5,17,1,-,4,1,-
261510,-,-,-,4,11,1,-,-,1,-
261520,-,1,-,1,9,2,1,1,1,-
261530,8,3,1,12,35,6,-,10,5,2
261540,2,2,-,3,17,5,-,3,2,-
261550,-,-,-,2,10,2,-,1,1,-
261560,2,3,-,8,23,2,-,9,1,-
261570,-,1,-,2,9,3,-,2,1,-
261580,2,1,-,2,11,3,-,2,2,-
261590,-,1,-,3,8,2,-,3,1,-
261600,-,1,-,2,14,3,-,3,1,1
261610,1,-,-,1,10,1,-,1,1,-
261618,-,2,-,2,6,2,-,2,1,-
261620,-,1,-,6,14,5,-,-,4,1
261630,4,1,-,2,20,5,-,4,3,1
261640,16,10,3,40,131,54,5,22,25,16
261650,1,-,-,1,9,6,1,-,1,1
270010,6,2,-,13,24,6,-,3,4,-
270020,3,-,-,3,15,4,1,2,2,-
270030,110,51,29,192,383,152,24,26,52,42
270040,11,3,-,9,32,9,1,8,3,2
270050,1,2,-,9,12,3,1,1,2,1
270060,1,1,-,3,6,2,2,-,3,2
270070,3,1,1,7,22,3,-,3,-,-
270080,1,2,-,1,4,2,-,1,1,1
270090,1,1,-,2,8,2,-,1,2,-
270100,2,1,-,4,21,6,-,7,4,1
270110,-,1,-,1,9,-,-,3,1,-
270120,1,-,-,6,9,1,-,3,1,1
270130,4,3,-,5,13,3,-,3,2,-
270135,2,1,-,1,3,2,1,3,1,-
270140,5,2,-,9,52,10,1,12,9,1
270150,1,-,-,2,5,2,-,1,1,-
270160,3,2,-,4,15,5,1,4,2,-
270170,3,2,2,7,15,5,2,-,3,-
270180,1,1,-,2,5,1,-,1,1,1
270190,1,-,-,1,5,1,-,1,1,-
270200,1,1,-,6,9,1,-,1,1,-
270210,2,1,-,11,19,6,-,6,3,-
270220,1,-,-,6,14,6,-,-,1,-
270230,12,5,5,20,66,33,5,12,6,7
270235,3,3,-,8,23,3,-,4,2,-
270240,16,5,1,16,52,16,4,7,5,7
270250,1,1,-,7,15,3,-,2,1,-
270255,3,1,-,3,9,5,-,3,-,-
270260,3,2,-,5,18,3,-,3,1,-
270270,1,1,-,1,3,1,-,1,1,-
270280,3,-,-,4,15,4,-,5,2,-
270290,13,3,-,3,31,6,-,8,4,-
270300,2,1,-,7,12,2,2,2,1,1
270310,1,2,-,3,14,4,1,3,3,-
270320,3,1,-,6,11,3,-,8,1,1
270330,2,2,-,5,12,1,-,3,1,1
270340,1,1,-,1,7,2,-,2,1,-
270350,1,-,-,1,3,1,-,1,1,-
270360,1,-,-,3,5,3,1,2,1,-
270370,1,-,-,2,3,1,-,1,1,-
270375,-,2,-,5,7,4,-,1,-,-
270380,4,3,-,6,24,4,1,3,5,1
270390,-,1,-,1,4,3,-,2,2,-
270400,7,2,-,5,22,8,-,6,6,1
270410,5,-,-,9,21,5,1,4,2,-
270420,7,1,-,7,22,2,-,9,3,-
270430,448,261,77,871,1730,726,201,37,317,300
270440,3,-,-,3,18,5,-,1,1,-
270450,6,5,-,17,35,9,1,5,5,2
270460,1,-,-,2,4,1,-,1,1,-
270470,10,12,1,11,46,10,2,3,2,2
270480,4,1,-,2,13,7,-,1,1,-
270490,2,-,-,-,2,1,-,-,1,-
270500,4,2,-,4,20,5,-,3,2,-
270510,8,2,-,5,25,8,-,4,6,-
270520,3,-,-,7,15,7,-,2,1,-
270530,1,1,-,-,1,-,1,1,1,1
270540,1,2,-,-,5,2,1,-,1,1
270550,4,3,-,5,24,4,-,4,3,1
270560,1,-,-,1,3,1,-,1,-,-
270570,2,-,-,6,18,3,-,3,4,1
270580,1,-,-,-,3,2,-,3,1,-
270590,1,-,-,-,1,-,-,-,1,-
270600,3,1,-,3,4,1,-,3,1,-
270610,3,1,-,1,6,1,-,2,-,-
270620,1,-,-,1,8,2,-,1,-,-
270630,20,7,-,31,85,23,1,6,8,4
270640,9,3,-,5,29,4,-,8,3,-
270642,2,-,-,4,13,3,-,3,1,-
270644,-,1,-,10,12,2,-,3,-,-
270650,2,2,1,2,14,2,-,2,2,-
270660,1,-,-,5,6,2,-,-,1,-
270670,13,7,2,14,59,20,-,14,5,4
270680,2,-,-,2,11,1,1,3,1,-
270690,7,4,1,8,28,7,-,11,6,1
270700,1,-,-,-,3,2,-,-,1,-
270710,5,3,-,9,33,5,-,3,4,1
270720,1,1,-,1,7,1,-,-,1,-
270730,13,6,-,10,50,22,-,5,12,-
270740,1,1,-,2,5,3,-,2,1,-
270750,6,-,-,7,23,5,-,1,1,-
270760,1,-,-,2,12,-,-,1,2,-
270770,9,4,-,29,54,13,2,8,4,4
270780,2,-,-,-,5,3,-,2,2,-
270790,2,1,-,1,9,1,-,2,2,-
270800,16,3,2,23,75,17,1,3,4,10
270810,2,2,-,1,10,3,-,-,2,1
270820,-,-,-,4,7,2,-,2,1,-
270830,5,2,-,4,30,12,-,1,8,1
270840,3,2,-,3,21,3,-,6,2,1
270850,4,3,-,3,19,5,-,4,3,-
270860,13,4,3,18,61,20,2,12,6,4
270870,-,-,-,2,8,2,-,-,2,-
270880,7,3,-,1,28,5,-,11,1,-
270890,6,1,-,4,7,5,-,2,2,1
270895,1,-,-,1,3,1,-,1,1,-
270900,2,-,-,-,2,2,-,2,1,-
270910,2,-,-,-,9,5,-,7,3,-
270915,9,5,-,3,51,7,-,10,7,-
270920,8,2,-,3,19,7,-,4,3,-
270930,12,3,3,7,48,30,2,12,13,15
270940,8,-,-,9,17,7,-,2,3,1
280010,2,1,-,1,2,1,-,-,-,-
280020,3,1,-,5,17,4,2,2,2,1
280030,253,184,86,753,1386,511,177,104,191,386
280040,1,1,-,3,9,4,-,1,2,-
280050,1,1,-,13,18,2,1,3,-,1
280060,7,2,-,21,32,16,-,6,3,-
280067,5,2,-,17,35,4,1,5,2,1
280070,1,1,-,1,5,3,1,5,1,1
280100,3,4,-,5,13,5,-,2,1,-
280110,1,-,-,-,1,-,1,1,1,-
280120,7,1,-,5,32,2,1,8,3,1
280130,5,2,-,1,28,6,2,3,4,3
280140,1,-,-,3,15,1,-,6,-,-
280150,3,2,-,7,8,3,1,2,1,-
280160,1,1,-,1,6,2,-,3,1,-
280170,2,1,-,5,24,5,-,5,2,-
280190,2,-,-,1,2,1,-,-,1,-
280200,1,1,-,2,3,1,-,2,-,-
280210,20,9,2,31,90,13,4,9,7,7
280220,-,-,-,3,3,2,-,-,-,-
280230,1,1,-,3,10,3,-,3,1,1
280240,1,1,-,1,4,3,-,3,1,1
280250,-,-,-,4,3,2,-,2,-,-
280260,2,-,-,-,6,2,-,-,1,-
280270,1,1,-,1,5,2,-,2,-,-
280280,2,1,-,1,10,1,-,5,-,-
280290,16,8,4,40,84,31,3,12,12,6
280300,1,1,-,3,21,3,1,7,1,-
280310,-,-,-,-,8,-,-,1,-,-
280320,3,3,-,12,30,8,-,7,3,2
280330,2,2,-,5,14,3,-,3,2,1
280340,1,-,2,6,11,3,1,2,2,-
280350,31,17,5,57,163,56,12,12,20,12
280360,4,1,-,6,16,5,-,7,2,-
280370,1,1,-,2,6,2,-,1,1,-
280380,1,1,-,1,1,1,-,2,-,-
280390,1,-,-,3,6,3,-,4,1,-
280400,2,1,-,4,9,2,-,4,1,-
280410,-,-,-,-,4,1,-,-,1,-
280420,-,-,-,3,13,4,-,6,1,-
280430,-,-,-,1,3,-,1,-,-,1
280440,4,3,-,9,25,2,1,4,1,-
280445,1,-,-,1,4,-,-,1,1,-
280450,8,1,-,9,63,7,3,9,3,4
280460,3,1,-,4,25,5,1,4,3,-
280470,1,1,-,-,4,-,-,-,-,-
280480,27,9,-,46,116,22,1,36,13,2
280490,2,1,-,2,10,2,-,1,1,-
280500,1,-,-,-,2,1,-,1,1,-
280510,-,-,1,-,2,3,-,1,1,-
280520,-,1,-,-,2,2,-,-,-,1
280530,2,1,-,1,4,2,-,3,1,1
280540,2,1,-,1,22,4,-,8,2,-
280550,2,-,-,2,17,3,-,4,3,-
280560,4,2,1,6,23,5,-,3,1,-
280570,8,1,6,13,85,10,3,6,5,6
280580,2,-,-,1,23,4,-,3,1,1
280590,2,-,-,4,7,1,-,2,-,-
